refinements,elems,hmax,error,clock_mesh,clock_solve,clock_error
0,640,1.2727529299,0.28675,0.011057389,0.0049905006,0.681877175
1,844,0.6304051415,0.21374,0.02727443,0.006311385,0.008290425
2,1108,0.3176911584,0.0781,0.062724056,0.010438245,0.023576821
3,1444,0.1588956625,0.0284707,0.186909142,0.02656408,0.071215348
4,1888,0.0795381397,0.0145811,0.761984403,0.117599423,0.260230967
5,2464,0.0397734156,0.0111618,2.970641269,0.71580785,1.003284217
6,32308,0.0198873596,0.0108575,12.668927658,2.959885855,4.26315942
7,4174,0.0099436741,0.0107155,57.787280679,16.081597328,16.19033065
8,5428,,0.0106262,,,
9,7024,,0.00974552,,,
10,9124,,0.00972902,,,
11,11830,,0.0097244,,,
