refinements	eleadap	refglobal	eleglobal	hmax	error	clock_mesh	clock_solve	clock_error	error_global
0	640	0	48	1.2727529299	0.28675	0.011057389	0.0049905006	0.681877175	0.8608053625
1	844	1	187	0.6304051415	0.21374	0.02727443	0.006311385	0.008290425	0.1958320733
2	1108	2	746	0.3176911584	0.0781	0.062724056	0.010438245	0.023576821	0.051715776
3	1444	3	3013	0.1588956625	0.0284707	0.186909142	0.02656408	0.071215348	0.0169396236
4	1888	4	11989	0.0795381397	0.0145811	0.761984403	0.117599423	0.260230967	0.0046671012
5	2464	5	48425	0.0397734156	0.0111618	2.970641269	0.71580785	1.003284217	0.0013016806
6	3232	6	193349	0.0198873596	0.0108575	12.668927658	2.959885855	4.26315942	0.0004120852
7	4174	7	772466	0.0099436741	0.0107155	57.787280679	16.081597328	16.19033065	0.0001461741
8	5428				0.0106262				
9	7024				0.00974552				
10	9124				0.00972902				
11	11830				0.0097244				
